Client,i,Factorial
127.0.0.1:13514,2,2
127.0.0.1:13002,1,1
127.0.0.1:15561,20,2432902008176640000
127.0.0.1:35529,19,121645100408832000
127.0.0.1:45769,18,6402373705728000
127.0.0.1:43209,17,355687428096000
127.0.0.1:19145,17,355687428096000
127.0.0.1:47305,16,20922789888000
127.0.0.1:6858,15,1307674368000
127.0.0.1:28873,14,87178291200
127.0.0.1:36552,14,87178291200
127.0.0.1:15049,14,87178291200
127.0.0.1:37576,14,87178291200
127.0.0.1:41673,13,6227020800
127.0.0.1:42697,13,6227020800
127.0.0.1:47817,13,6227020800
127.0.0.1:42185,12,479001600
127.0.0.1:50889,11,39916800
127.0.0.1:51401,10,3628800
127.0.0.1:29385,9,362880
127.0.0.1:37064,8,40320
127.0.0.1:30409,7,5040
127.0.0.1:29897,6,720
127.0.0.1:9418,5,120
127.0.0.1:46315,4,24
127.0.0.1:13514,3,6
127.0.0.1:13002,2,2
127.0.0.1:23242,1,1
127.0.0.1:35529,20,2432902008176640000
127.0.0.1:45769,19,121645100408832000
127.0.0.1:43209,18,6402373705728000
127.0.0.1:19145,18,6402373705728000
127.0.0.1:47305,17,355687428096000
127.0.0.1:6858,16,20922789888000
127.0.0.1:28873,15,1307674368000
127.0.0.1:36552,15,1307674368000
127.0.0.1:15049,15,1307674368000
127.0.0.1:37576,15,1307674368000
127.0.0.1:41673,14,87178291200
127.0.0.1:42697,14,87178291200
127.0.0.1:47817,14,87178291200
127.0.0.1:42185,13,6227020800
127.0.0.1:50889,12,479001600
127.0.0.1:51401,11,39916800
127.0.0.1:29385,10,3628800
127.0.0.1:37064,9,362880
127.0.0.1:30409,8,40320
127.0.0.1:29897,7,5040
127.0.0.1:9418,6,720
127.0.0.1:46315,5,120
127.0.0.1:13514,4,24
127.0.0.1:13002,3,6
127.0.0.1:23242,2,2
127.0.0.1:36042,1,1
127.0.0.1:45769,20,2432902008176640000
127.0.0.1:43209,19,121645100408832000
127.0.0.1:19145,19,121645100408832000
127.0.0.1:47305,18,6402373705728000
127.0.0.1:6858,17,355687428096000
127.0.0.1:28873,16,20922789888000
127.0.0.1:36552,16,20922789888000
127.0.0.1:15049,16,20922789888000
127.0.0.1:37576,16,20922789888000
127.0.0.1:41673,15,1307674368000
127.0.0.1:42697,15,1307674368000
127.0.0.1:47817,15,1307674368000
127.0.0.1:42185,14,87178291200
127.0.0.1:50889,13,6227020800
