Client,i,Factorial
127.0.0.1:17622,19,121645100408832000
127.0.0.1:29398,18,6402373705728000
127.0.0.1:50901,17,355687428096000
127.0.0.1:23254,16,20922789888000
127.0.0.1:28886,15,1307674368000
127.0.0.1:40662,14,87178291200
127.0.0.1:5846,13,6227020800
127.0.0.1:28373,12,479001600
127.0.0.1:17622,20,2432902008176640000
127.0.0.1:29398,19,121645100408832000
127.0.0.1:50901,18,6402373705728000
127.0.0.1:23254,17,355687428096000
127.0.0.1:28886,16,20922789888000
127.0.0.1:40662,15,1307674368000
127.0.0.1:5846,14,87178291200
127.0.0.1:28373,13,6227020800
127.0.0.1:29398,20,2432902008176640000
127.0.0.1:50901,19,121645100408832000
127.0.0.1:23254,18,6402373705728000
127.0.0.1:28886,17,355687428096000
127.0.0.1:40662,16,20922789888000
127.0.0.1:5846,15,1307674368000
127.0.0.1:28373,14,87178291200
127.0.0.1:50901,20,2432902008176640000
127.0.0.1:23254,19,121645100408832000
127.0.0.1:28886,18,6402373705728000
127.0.0.1:40662,17,355687428096000
127.0.0.1:5846,16,20922789888000
127.0.0.1:28373,15,1307674368000
127.0.0.1:23254,20,2432902008176640000
127.0.0.1:28886,19,121645100408832000
127.0.0.1:40662,18,6402373705728000
127.0.0.1:5846,17,355687428096000
127.0.0.1:28373,16,20922789888000
127.0.0.1:28886,20,2432902008176640000
127.0.0.1:40662,19,121645100408832000
127.0.0.1:5846,18,6402373705728000
127.0.0.1:28373,17,355687428096000
127.0.0.1:40662,20,2432902008176640000
127.0.0.1:5846,19,121645100408832000
127.0.0.1:28373,18,6402373705728000
127.0.0.1:5846,20,2432902008176640000
127.0.0.1:28373,19,121645100408832000
127.0.0.1:28373,20,2432902008176640000
